youtube_id,title,duration
7W2Ny4wlq5I,Listen to the sound of the 770-hp Scania V8 engine,38
DtQTkIdLLvY,SCANIA R500 V8 Cold start (-13°C),26
O1tFB-UK4gw,Scania S730 V8 Engine Start V8 sound,26
8CT98J0r7dQ,Scania R Euro 6 engine sound,34
UKIqOeGY75w,"Scania R500 - First Start With New Camshaft,No Rocker Covers",47
GD8HNtAqlYE,Brutal SOUND (Acceleration) Scania R V8 Power SUPER (Purple Edition) Old Generation,22
SBiY9YO7uKs,SCANIA 770s V8 Truckfest Peterborough leave sounds of engines and horns #4k #truckfestpeterborough,15
Jrb9ikvTtxQ,Marcopolo G6 1800 DD - Scania K420 - Sonido de motor - Inside engine sound,81
LmG3zX04wC4,SCANIA 164G Engine Sound - Truckshow Himmerland - SCANIA ENGINE,115
uVgNP_J2lRA,Scania Konstantinidis R950,65
MqUSDIC49jw,Kazakh language sounds like diesel that you start on freezing day,16
Nxhg6f9r0GY,DIESEL TRUCK EXHAUST COMPILATION *CAR SOUNDS WITH MOUTH*,39
cC9iR-zoPtM,Diesel Truck Start And Drive Away Sound Effect,36
lzDtFO1Ko5w,Diesel Engine Start - Sound FX (HD),19
2PxDAswvYG4,Diesel Truck Startup &amp; Running/Idling - Sound Effect,11
NjkneSAPKsw,69 Kenworth with 8v71 Detroit Diesel,38
jLENvQcGefI,diesel engine sound of people&#39;s mouth,63
57hY47NuUzs,Diesel sounds  impersonation by mouth #carsoundswithmouth,85
lq4a1TpRerQ,"صوت مزعج من الجنزير و الشداد هايلوكس 2018/2024 ديزل, تويوتا هايلوكس ، Toyota Hilux Diesel",122
A79VSc6mPEo,Sound Effect: Diesel Engine Idling,8
7W2Ny4wlq5I,Listen to the sound of the 770-hp Scania V8 engine,38
EWtf2z-CFH4,Freightliner Argosy ISX 620 with 7 inch pipes and loud jakes. Mean looking machine.,56
oQZqnPLUiBE,Truck Engine SOUND EFFECT - Bus Engine LKW Motor starten running SOUNDS Motor SFX,63
hAmi9QxRIB4,Truck Engine Idle and Rev | HQ Sound Effects,55
UwL-qWJTEAw,Ashok Leyland starting sound,15
RfYc0VTtU8E,TRUCK START AND THROTTLE SOUND EFFECT,42
uVgNP_J2lRA,Scania Konstantinidis R950,65
NXhZ6jlqFTI,Kenworth with loud Jakes!,55
f277ag84qok,Truck Engine Start - Sound Effect | ProSounds,8
